scenario_id,description,attack_type,attack_template,time_series_type,magnitude_category,duration_category,magnitude_value,duration_value,attack_start,attack_end,attack_duration,detected,correct_detection,detected_start,detected_end,detection_score,max_deviation,avg_deviation,tp,tn,fp,fn,precision,recall,f1,fpr,accuracy
86,RAMPING-II: 0→50%→0 over 24h,RAMPING-TYPE2,RAMPING,COLLECTIVE,medium,medium,50,24,5200,5223,24,True,True,560,5989,5.063633675186285,0.3452505998217472,0.11627349319258846,24,570,5406,0,0.004419889502762431,1.0,0.0088008800880088,0.9046184738955824,0.099
87,RAMPING-II: 0→50%→0 over 36h,RAMPING-TYPE2,RAMPING,COLLECTIVE,medium,long,50,36,5260,5295,36,True,True,560,5989,5.051331702620045,0.33552446149425186,0.08188058036317232,36,570,5394,0,0.0066298342541436465,1.0,0.013172338090010978,0.9044265593561368,0.101
88,RAMPING-II: 0→100%→0 over 16h,RAMPING-TYPE2,RAMPING,COLLECTIVE,medium,medium,100,16,5320,5335,16,True,False,5327,5330,7.324437480862203,0.7324437480862203,0.3161934248564994,4,5984,0,12,1.0,0.25,0.4,0.0,0.998
89,RAMPING-II: 0→100%→0 over 24h,RAMPING-TYPE2,RAMPING,COLLECTIVE,medium,medium,100,24,5380,5403,24,True,True,560,5989,5.0638761606896985,0.4413005228263054,0.18975825440253138,24,570,5406,0,0.004419889502762431,1.0,0.0088008800880088,0.9046184738955824,0.099
90,RAMPING-II: 0→100%→0 over 36h,RAMPING-TYPE2,RAMPING,COLLECTIVE,medium,long,100,36,5440,5475,36,True,True,560,5989,5.080964698669017,0.3776353986382539,0.11341326113941302,36,570,5394,0,0.0066298342541436465,1.0,0.013172338090010978,0.9044265593561368,0.101
91,RAMPING-II: 0→19%→0 over 16h,RAMPING-TYPE2,RAMPING,COLLECTIVE,weak,medium,19,16,5500,5515,16,True,True,560,5989,5.073700120377797,0.25102127433959376,0.09427372660344016,16,570,5414,0,0.0029465930018416206,1.0,0.005875872199779655,0.9047459893048129,0.09766666666666667
92,RAMPING-II: 0→19%→0 over 24h,RAMPING-TYPE2,RAMPING,COLLECTIVE,weak,medium,19,24,5560,5583,24,True,True,560,5989,5.075156819650375,0.2243088900078387,0.09919749719420244,24,570,5406,0,0.004419889502762431,1.0,0.0088008800880088,0.9046184738955824,0.099
93,RAMPING-II: 0→19%→0 over 36h,RAMPING-TYPE2,RAMPING,COLLECTIVE,weak,long,19,36,5620,5655,36,True,True,560,5989,5.083212214876433,0.2062163986769583,0.09111745130613952,36,570,5394,0,0.0066298342541436465,1.0,0.013172338090010978,0.9044265593561368,0.101
94,RANDOM: ±10% noise for 6h,RANDOM,RANDOM,COLLECTIVE,weak,short,10,6,5680,5685,6,True,True,560,5989,5.077281437015429,0.13112965747838057,0.0702177766408023,6,570,5424,0,0.0011049723756906078,1.0,0.002207505518763797,0.9049049049049049,0.096
95,RANDOM: ±10% noise for 12h,RANDOM,RANDOM,COLLECTIVE,weak,medium,10,12,5740,5751,12,True,True,560,5989,5.079239532447983,0.20086905025633284,0.10988353904216654,12,570,5418,0,0.0022099447513812156,1.0,0.004410143329658214,0.9048096192384769,0.097
96,RANDOM: ±10% noise for 18h,RANDOM,RANDOM,COLLECTIVE,weak,medium,10,18,5800,5817,18,True,True,560,5989,5.076345099831337,0.17947659742196032,0.09010377540956928,18,570,5412,0,0.0033149171270718232,1.0,0.0066079295154185015,0.9047141424272819,0.098
97,RANDOM: ±10% noise for 24h,RANDOM,RANDOM,COLLECTIVE,weak,long,10,24,5860,5883,24,True,True,560,5989,5.077909723792976,0.26321163032784844,0.08121594070724737,24,570,5406,0,0.004419889502762431,1.0,0.0088008800880088,0.9046184738955824,0.099
98,RANDOM: ±20% noise for 6h,RANDOM,RANDOM,COLLECTIVE,medium,short,20,6,5920,5925,6,True,True,560,5989,5.077552088246943,0.1234387410236093,0.06907082254752504,6,570,5424,0,0.0011049723756906078,1.0,0.002207505518763797,0.9049049049049049,0.096
